Orth	  Pron(1)	 Pron(Pastor and Beam de Azcona)	 Pron(Pike and Ibach)	 Pron	 Pron	 Dom(sense1.i)	 Dom(sense1.ii)	 POS(sense1)	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 LA (sense1.i)	  LA (sense1.ii)	 Def(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	 Dom(sense2.i)	 Dom(sense2.ii)	 POS(sense2)	 EN(sense2.i)	 EN(sense2.ii)	 EN(sense2.iii)	 ES (sense2.i)	 ES(sense2.ii)	  ES(sense2.iii)	 Def(sense2)	 Example (sense 2)	 Example (sense 2) (EN)	 Example (sense 2) (ES)
sa'an	sã́ʔã̀					Communication		noun	language			idioma	lengua																				
tu'un						Language		noun										tu'un ntusu															
tsa'vi						Ritual		noun																									
ntusu						Literacy	Language	noun	alphabet			alfabeto						Ntusu Sa'an Savi	The Mixtepec-Mixtec alphabet	El alfabeto Misteko de Mixtepec													
sa'an savi	sáʔà sàví					Language		noun	Mixtepec-Mixtec									Ntusu Sa'an Savi															
sa'an ntavi	sáʔà nd̪ávì					Language		noun										Tu'un Sa'an Ntavi															
sa'an xchila	sáʔà sʧílà					Language		noun	Spanish			español						Ika ka'an na siin siin sa'an tono sa'an xchila, portugués, francés, quechua tsi inka ka kue sa'an.															
portugués						Language		noun	Portuguese			portugués						Ika ka'an na siin siin sa'an tono sa'an xchila, portugués, francés, quechua tsi inka ka kue sa'an.															
francés						Language		noun	French			francés																					
quechua						Language		noun	Quechua			quechua						Ika ka'an na siin siin sa'an tono sa'an xchila, portugués, francés, quechua tsi inka ka kue sa'an.															
yata tu'un								noun	story	fable		cuento	historia																				
nani	nánì					Nomenclature		noun	name			nobre											verb	be named			llamarse						
kiti	kìt̪í					Living Being		noun	animal			animal									Animal			horse			caballo						
ntikua'in	ndìkwã́ĩ̀					Animal		noun	squirrel			ardilla																					
tina	t̪íná					Animal		noun	dog			perro																					
vilu						Animal		noun	cat			gato																					
ntucha	ndúʧá					Animal		noun	goat			cabra	chivo																				
ntikachi						Animal	Livestock	noun	sheep																								
lelu	lélù					Animal	Sheep	noun	lamb			cordero																					
yakuii	jákwìí					Animal		noun	armadillo																								
likuaku	likwákù					Animal		noun	lizard																								
stiki	stìkʰí					Animal	Livestock	noun	bull			torro									Animal	Livestock	categoricalNoun	cow			vaca						
lurru	lúrrú					Animal	Livestock	noun	donkey			burro																					
maxu			ma˧ʃu˧			Animal	Livestock	noun	mule			mula																					
ii	iì		ʔi˧i˩			Animal		noun	badger			tejón																					
salurru	sàlùrrú					Animal		noun	rabbit																								
koo		kòó	ko˩o˥			Animal		noun	snake			serpiente	culebra																				
kondo	kóndó					Animal		noun	frog			rana																					
sa'va			sa˧˩ʔva˩			Animal		noun	frog			rana																					
likui						Animal		noun	toad																								
ntintitsa						Animal		noun	tortise																								
isu						Animal		noun	deer			venado																					
nkuii	nk̜wìí					Animal		noun	fox			zorro																					
ntiva'u	nt̪iva˧˥ʔo˥˩					Animal		noun	coyote																								
kini	kínì					Animal	Livestock	noun	pig			puerco	cerdo																				
tsoko	tsóko		tso˥ko˧			Animal		noun	possum			zarigüeya																					
ma'a	máʔà		ma˥ʔa˩			Animal		noun	racoon			mapache																					
ti'inxee	t̪ĩ́ʔĩ̀ʃéé					Animal		noun	skunk																								
ti'in	t̪ĩ́ʔĩ̀					Animal		noun	rat			raton																					
tikuchi	t̪ikùʧí					Animal		noun	bat			murciélago																					
chaka	ʧàká					Animal		categoricalNoun	fish			pescado						sucha chaka ka nuu chikuii															
choxiin						Animal		noun	crab			cangrejo																					
saa	sàà					Animal		categoricalNoun	bird			pájaro	ave																				
chariki kuaan						Animal	Bird	noun	Wilson's warbler			chipe corona negra			Cardellina pusilla																		
chumi lunchi						Animal	Bird	noun	Guadalupe Burrowing Owl	Marie Galante Burrowing Owl		tecolote llanero	tecolote zancón		Athene cunicularia																		
chumi sai						Animal	Bird	noun	Northern Saw-whet Owl			tecolotito			Aegolius acadicus																		
chumi xini ka'nu						Animal	Bird	noun	Great Horned Owl			tecolote	búho cornado		Bubo virginianus																		
chuun ntucha						Animal	Bird	noun	White-winged coot			gallareta			Fulica leucoptera																		
chuun yucha						Animal	Bird	noun	White-winged coot			gallareta			Fulica leucoptera																		
chuun yuku						Animal	Bird	noun	Buffy-crowned wood partridge	mountain chicken		gallina del monte			Dendrortyx leucophrys																		
kasa kutu						Animal	Bird	noun	Whiskered screech owl			tecolote rítmico			Megascops trichopsis	Otus trichopsis																	
kañuu						Animal	Bird	noun	Montezuma Quail			codorniz arlequín			Cyrtonyx montezumae																		
kañuu						Animal	Bird	noun	Northern Bobwhite	Bobwhite quail		codorniz cotuí			Colinus virginianus																		
kiti ya'a						Animal	Bird	noun	Golden Eagle			ágila real			Aquila chrysaetos																		
koni yuku						Animal	Bird	noun	Crested Guan mountain turkey	Crested Guan mountain turkey		pava cojolita			Penelope purpurascens																		
kuili						Animal	Bird	noun	Woodhouse's scrub jay	Mexican jay		chara azuleja	chara pechirrayada		Aphelocoma woodhouseii	Aphelocoma wollweberi		ni ki'in kuili ka'nu ka ña chi'ntu tsatsi kuili luu luu ka	the big scrub jay took the nut that the little scrub jay had.														
kukuvi						Animal	Bird	noun	Common Poorwill			tapacamino			Phalaenoptilus nuttallii																		
lachacha						Animal	Bird	noun	Chachalaca			chachalaca			Ortalis (genus)																		
lakaan						Animal	Bird	noun	Amazonian motmot			korro	momoto	turco	Momotus momota																		
lakuku						Animal	Bird	noun	Mourning Dove			tortolita			Columbina talpacoti																		
lasimi						Animal	Bird	noun	White-throated Towhee			rascador oaxaqueño			Melozone albicollis	Pipilo albicollis																	
lasimi						Animal	Bird	noun	Canyon Towhee			rascador pardo			Melozone fusca	Pipilo fuscus																	
lasu'un						Animal	Bird	noun	Roadrunner			correcaminos			Geococcyx																		
letsa						Animal	Bird	noun	Vermilion flycatcher			mosquero cardenalito	venturilla		Pyrocephalus rubinus																		
litsi						Animal	Bird	noun	American Kestral			halcón cernícalo			Falco sparverius																		
litu						Animal	Bird	noun	American Kestral			halcón cernícalo			Falco sparverius																		
lochi ncha'i						Animal	Bird	noun	Black Vulture			zopilote negro			Coragyps atratus																		
lochi nii						Animal	Bird	noun	Turkey Vulture			aura cabecirroja			Cathartes aura																		
nchoꞌo						Animal	Bird	noun	Hummingbird			colibrí			Trochilidae																		
nchuu kava						Animal	Bird	noun	Pale-vented Pigeon			paloma morada			Patagioenas cayennensis																		
nchuu ku'u						Animal	Bird	noun	Ruddy Ground Dove			paloma huilota			Columbina talpacoti																		
nchuu lunchi						Animal	Bird	noun	European turtle dove			tórtola común			Streptopelia turtur																		
nchuu ntsitsi						Animal	Bird	noun	White-winged Dove			pintu paloma aliblanca			Zenaida asiatica																		
nchuu nukua'a						Animal	Bird	noun	Tuxtla quail-dove			paloma perdiz			Geotrygon carrikeri																		
nchuu nuu ku'u						Animal	Bird	noun	Ruddy Ground Dove			paloma huilota			Columbina talpacoti																		
nchuu tsa'a kua'a						Animal	Bird	noun	Tuxtla quail-dove			paloma perdiz			Geotrygon carrikeri																		
nchuu xchila						Animal	Bird	noun	collared dove			paloma doméstica con collar	paloma turca		Streptopelia decaocto																		
nchuu ya'a						Animal	Bird	noun	collared dove			paloma arroyera	paloma turca		Streptopelia decaocto																		
nchuu yuku						Animal	Bird	noun	collared dove			paloma arroyera	paloma turca		Streptopelia decaocto																		
ntikaan						Animal	Bird	noun	Amazonian motmot			korro	momoto	turco	Momotus momota																		
ntintatsa						Animal	Bird	noun	Amazonian motmot			korro	momoto	turco	Momotus momota																		
patu ncha'i						Animal	Bird	noun	Pied-billed grebe			zambullidor			Podilymbus podiceps																		
patu yuku						Animal	Bird	noun	Green heron			garcita oscura			Butorides virescens																		
saa cha'a						Animal	Bird	noun	Summer tanager			tangara roja			Piranga rubra																		
saa chavi						Animal	Bird	noun	Boucard's wren			matraca balseña			Campylorhynchus jocosus																		
saa friu						Animal	Bird	noun	Northern tufted flycatcher			papamoscas copetón			Mitrephanes phaeocercus																		
saa i'na						Animal	Bird	noun	Rock wren			troglodita saltaroca			Salpinctes obsoletus																		
saa icha						Animal	Bird	noun	Lark sparrow			gorrión arlequín			Chondestes grammacus																		
saa iti						Animal	Bird	noun	Rose-throated becard			mosquero cabezón			Pachyramphus aglaiae																		
saa kava						Animal	Bird	noun	canyon wren			troglodita saltapared			catherpes mexicanus																		
saa koo						Animal	Bird	noun	Anhinga			pájaro culebra			Anhingidae																		
saa krista						Animal	Bird	noun	Painted whitestart			Painted redstart	pavito aliblanco		Myioborus pictus																		
saa kua'a						Animal	Bird	noun	Vermilion flycatcher			mosquero cardenalito	venturilla		Pyrocephalus rubinus																		
saa kua'a						Animal	Bird	noun	Summer tanager			tangara roja			Piranga rubra																		
saa kuaan						Animal	Bird	noun	White-collared seedeater			semillerito collarejo			Sporophila torqueola																		
saa kuaan						Animal	Bird	noun	Lesser goldfinch	Dark-backed goldfinch		jilguero dorsioscuro	dominico		Carduelis psaltris	Carduelis psaltria																	
saa kuaan						Animal	Bird	noun	Chalk-browed mockingbird			calandria	bolsero		Mimus saturninus																		
saa kuaan						Animal	Bird	noun	Golden vireo			vireo dorado			Vireo hypochryseus																		
saa kuaan ntipintu						Animal	Bird	noun	Mexican yellow grosbeak			picogrueso amarillo			Pheucticus chrysopeplus																		
saa kuaan xini kua'a						Animal	Bird	noun	Western tanager			tangara aliblanco			Piranga ludoviciana																		
saa kula						Animal	Bird	noun	Grey silky-flycatcher			capulinero			Pyrocephalus rubinus																		
saa kusu kiti luu						Animal	Bird	noun	Vermilion flycatcher			mosquero cardenalito	venturilla		Pyrocephalus rubinus																		
saa kuun savi						Animal	Bird	noun	Greater pewee	rain bird		tengofrío grande			Contopus pertinax																		
saa li'va						Animal	Bird	noun	House finch			pinzón mexicano			Haemorhous mexicanus																		
saa lirru						Animal	Bird	noun	Painted whitestart			Painted redstart	pavito aliblanco		Myioborus pictus																		
saa mario						Animal	Bird	noun	House finch			pinzón mexicano			Haemorhous mexicanus																		
saa mi'ncha						Animal	Bird	noun	Ocellated Thrasher			cuitlacoche			Toxostoma ocellatum																		
saa ncha'i						Animal	Bird	noun	Great-tailed grackle			zanate			Quiscalus mexicanus																		
saa nchaa						Animal	Bird	noun	Blue Mockingbird			cenzontle azul	mulato común		Melanotis caerulescens																		
saa nchaa yuku						Animal	Bird	noun	Stellar's jay			chara copetona	chara crestada		Cyanocitta stelleri																		
saa nche'e						Animal	Bird	noun	house wren			troglodita continental			troglodytes aedon																		
saa nche'e						Animal	Bird	noun	House finch			pinzón mexicano			Haemorhous mexicanus																		
saa nche'en						Animal	Bird	noun	Bewick's wren			troglodita colinegro			Thryomanes bewickii																		
saa ntaka						Animal	Bird	noun	Canyon Towhee			rascador pardo			Melozone fusca	Pipilo fuscus																	
saa ntakuatu						Animal	Bird	noun	Northern Mockingbird			cenzontle aliblanco			Mimus polyglottos																		
saa ntiki luu						Animal	Bird	noun	Rufous-capped warbler			chipe rey mexicano			Basileuterus rufifrons																		
saa ntiki na'nu						Animal	Bird	noun	Streaked flycatcher			papamoscas rayado			Myiodynastes maculatus																		
saa ntitsa'in						Animal	Bird	noun	Bridled titmouse			paro embozalado			Baeolophus wollweberi	Parus wollweberi																	
saa ntivilu						Animal	Bird	noun	Black-and-white warbler			chipe trepador			Mniotilta varia																		
saa nutoto						Animal	Bird	noun	Rock wren			troglodita saltaroca			Salpinctes obsoletus																		
saa nuu ku'u						Animal	Bird	noun	Golden vireo			vireo dorado			Vireo hypochryseus																		
saa nuu nchaa						Animal	Bird	noun	Blue Mockingbird			cenzontle azul	mulato común		Melanotis caerulescens																		
saa nuu ntika						Animal	Bird	noun	Black-throated gray warbler			chipe negrigris			Setophaga nigrescens																		
saa nuu sa'a						Animal	Bird	noun	Blue-hooded Euphonia Elegant Euphonia	Blue-hooded Euphonia Elegant Euphonia		eufonia gorriazul	eufonia gorriazul		Euphonia elegantissima																		
saa nuyuú						Animal	Bird	noun	Rock wren			troglodita saltaroca			Salpinctes obsoletus																		
saa pario						Animal	Bird	noun	House finch			pinzón mexicano			Haemorhous mexicanus																		
saa pario						Animal	Bird	noun	House sparrow			gorrión doméstico			Passer domesticus																		
saa pintu						Animal	Bird	noun	Golden-cheeked warbler			chipe negriamarillo			Setophaga chrysoparia																		
saa ti'la						Animal	Bird	noun	Groove-billed ani			garrapatero pijuy			Crotophaga sulcirostris																		
saa tika yoko itu						Animal	Bird	noun	Lesser goldfinch	Dark-backed goldfinch		jilguero dorsioscuro	dominico		Carduelis psaltris	Carduelis psaltria																	
saa tintuyu						Animal	Bird	noun	Band-backed wren			matraca barrada			Campylorhynchus zonatus																		
saa tirriti						Animal	Bird	noun	Yellow-rumped warbler			verdín	chipe grupidorado		Setophaga coronata																		
saa tsika nuu sa'a kuaan						Animal	Bird	noun	Blue-hooded Euphonia Elegant Euphonia	Blue-hooded Euphonia Elegant Euphonia		monjita elegante	monjita elegante		Euphonia elegantissima																		
saa tuli						Animal	Bird	noun	Groove-billed ani			garrapatero pijuy			Crotophaga sulcirostris																		
saa tusava						Animal	Bird	noun	Chalk-browed mockingbird			calandria	bolsero		Mimus saturninus																		
saa veñu'u						Animal	Bird	noun	Northern Mockingbird			cenzontle aliblanco			Mimus polyglottos																		
saa vikó						Animal	Bird	noun	Goldcrest			reyezuelo sencillo			Regulus regulus																		
saa vilu						Animal	Bird	noun	Gray catbird			mímido gris	pájaro gato		Dumetella carolinensis																		
saa xini tachi						Animal	Bird	noun	Loggerhead shrike			verdugo			Lanius ludovicianus																		
saa ya'a						Animal	Bird	noun	canyon wren			troglodita saltapared			catherpes mexicanus																		
saa yavi						Animal	Bird	noun	Boucard's wren			matraca balseña			Campylorhynchus jocosus																		
saa yucha						Animal	Bird	noun	Black phoebe			mosquero negro			Sayornis nigricans																		
saa yucha						Animal	Bird	noun	Buff-bellied pipit			bisbita de agua			Anthus rubescens																		
saa ñu'ma						Animal	Bird	noun	American Robin	Robin		primavera zorzal			Turdus migratorius																		
sami						Animal	Bird	noun	Heron			garza			Ardeidae																		
sata						Animal	Bird	noun	Pigeon			paloma doméstic			Columbidae																		
skuu yucha						Animal	Bird	noun	Common moorhen	waterhen	swamp chicken	ralo	gallina de agua		Gallinula chloropus																		
sti'in kuaan						Animal	Bird	noun	Black-headed Grosbeak			picogrueso pechicafé			Pheucticus melanocephalus																		
sti'in nchaa						Animal	Bird	noun	Blue grosbeak			picogrueso azul			Passerina caerulea																		
sutu yucha						Animal	Bird	noun	Common kingfisher			martín pescador			Alcedo atthis																		
taka lunchi						Animal	Bird	noun	Brown creeper			trepadorcito americano			Certhia americana																		
taka ntuxi						Animal	Bird	noun	Yellow-bellied Sapsucker			carpintero aliblanco común			Sphyrapicus varius																		
taka pintu ncha'i						Animal	Bird	noun	Acorn woodpecker			carpintero arlequín			Melanerpes formicivorus																		
taka xini kua'a						Animal	Bird	noun	Ladder-backed woodpecker			carpintero mexicano			Dryobates scalaris																		
taka ya'a						Animal	Bird	noun	Yellow-browed woodpecker			carpintero dorado			Piculus aurulentus																		
taka yuku						Animal	Bird	noun	Nuthatch			trepador			Sitta																		
taka yutu						Animal	Bird	noun	Ladder-backed woodpecker			carpintero mexicano			Dryobates scalaris	Dryobates scalaris																	
taka ñu'u						Animal	Bird	noun	Grey-breasted woodpecker			carpintero pechigrís			Melanerpes hypopolius																		
tasu						Animal	Bird	noun	Falcon			halcón			Falco																		
tasu lunchi						Animal	Bird	noun	American Kestral			halcón cernícalo			Falco sparverius																		
tikaka						Animal	Bird	noun	Crow			cuervo			Corvus																		
tikunchi						Animal	Bird	noun	bronzed cowbird			tordo ojirojo			Molothrus aeneus																		
tikunchi soko kua'a						Animal	Bird	noun	Red-winged blackbird			tordo sargento			Agelaius phoeniceus phoeniceus																		
tivatsa						Animal	Bird	noun	Violet-green Swallow			golondrina cariblanca			Tachycineta thalassina																		
tixikua						Animal	Bird	noun	Swallow				Hirundininae																					
tixikua na'nu						Animal	Bird	noun	Common swift			vencejo	Apus apus																				
tixiñu						Animal	Bird	noun	Grey silky-flycatcher			capulinero			Pyrocephalus rubinus																		
tsatu yaa						Animal	Bird	noun	White-tailed hawk			aguililla coliblanca	Geranoaetus albicaudatus																				
tsikoꞌo						Animal	Bird	noun	Crested Caracara			caracara quebranta	caracara quebrantauesos		Caracara cheriway																		
tsili						Animal	Bird	noun	Blue Mockingbird			cenzontle azul	mulato común		Melanotis caerulescens																		
tsivii						Animal	Bird	noun	Bewick's wren			troglodita colinegro			Thryomanes bewickii																		
xchio						Animal	Bird	noun	White-collared seedeater			semillerito collarejo			Sporophila torqueola																		
xi'an lunchi						Animal	Bird	noun	Sharp-shinned hawk			gavilán pechirufo menor	gavilán pajarero	Geranoaetus albicaudatus	Accipiter striatus																		
xi'an tintuyu						Animal	Bird	noun	Peregrin Falcon			halcón peregrino	halcón pollero		Falco peregrinus																		
xi'an tintuyu lunchi						Animal	Bird	noun	Merlin			halcón esmerejón			Falco columbarius																		
xi'an ñu'u						Animal	Bird	noun	Grey Hawk Barred Hawk			gavilán barrado	aguililla gris		Buteo nitidus																		
xini nkava						Animal	Bird	noun	Elegant Trogon			trogón			Trogon elegans																		
xku'u yucha						Animal	Bird	noun	Common moorhen	waterhen	swamp chicken	ralo	gallina de agua		Gallinula chloropus																		
xtii						Animal	Bird	noun	Blue-gray gnatcatcher			perlita azulgris			Polioptila caerulea																		
ya'a choko						Animal	Bird	noun	Short-tailed Hawk			aguililla colicorta			Buteo brachyurus																		
ya'a na'nu						Animal	Bird	noun	Golden Eagle			ágila real			Aquila chrysaetos																		
ña'mi yucha						Animal	Bird	noun	Common Black Hawk			aguililla negra menor			Buteogallus anthracinus																		
looro	lóórò					Bird_genera		noun	parrot			loro																					
lakuku	la˩ku˥ku˧			la˧ku˥ku	la˧ku˥ku˥	Animal		noun	mourning dove			tortolita						In kii ra in lakuku kunia tanta'i tsi in ncho'o, cha koo xu'in sa'i viko.															
xi'a	ʃìʔá					Bird_genera		noun	hawk	chickenhawk		halcón																					
lochi	loʧí					Bird_genera		noun	buzzard			zopilote									Bird_genera			vulture			zopilote	buitre					
chuún	ʧũṹ					Bird_genera		noun	chicken			pollo									Bird			hen			gallina						
to'lo	tóʔlò					Bird_genera		noun	rooster			gallo																					
kolo	kòló					Bird_genera		noun	male turkey			guajolote (masculino)																					
koni	kónì					Bird_genera		noun	female turkey			guajolote (feminina)																					
pii						Bird_genera	Turkey	noun	baby turkey			gualolotito																					
tixikua	t̪iʃìkʷá					Bird_genera		noun	swallow			golondrina																					
chumi	ʧùmí					Bird_genera		noun	owl			búho																					
