start,end,orth,final_ipa,draft_ipa,Notes (Jack),eng,spn,notes,flags
70.514,71.963,saán kúu-ñà ntsìtavǎ-nà ntǔxì,saã́ wã ntzìt̪avǎ nà ndǔʃì,saã́ kúu ñà ntsìt̪avǎ nà nt̪ǔʃì,,that's how they used to take the honey,asi era como sacaban la miel,,"t->t̪ (tentative, verify)"
71.973,73.503,tá tsàà na'á cha vichi ra,t̪á tsàà naʔá tʃa vitʃi ra,t̪á tsàà naʔá tʃa vitʃi ra,,before but now,antes pero ahora,,"t->t̪ (tentative, verify); unmapped char: 'r'"
73.506,76.266,ntùu kue kàa ra ñǒ'o kúu ñà tsáchúun-kuê ra,nt̪ùu kwɛ kàa ra ɲǒo wɛ tsátʃṹũ wɛ̂ ra,nt̪ùu kwɛ kàa ra ñǒʔo kúu ñà tsátʃúũ kuɛ̂ ra,,they invented the metals and these are the ones we use,y se inventaron los fierros y esos son los que usamos,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'"
76.279,78.582,ñà-ka kúu-ñà ñàà,ɲà wá ɲàà,ñà ka kúu ñà ñàà,,this is what we,eso es lo que,,
78.582,80.42,távǎ-kuê ntǔxì ra,t̬ávǎ wɛ̂ ndǔʃì raa,t̪ávǎ kuɛ̂ nt̪ǔʃì ra,,take the honey,sacamos miel,,"t->t̪ (tentative, verify); unmapped char: 'r'"
80.42,84.239,meê ra tsàà yachi mikǐ xíkò ntǔxì tono ntǔxì ntǔxì ñàà,mɛɛ̂ ra tsi jatʃi mikǐ ʃíkò nt̪ǔʃì t̪ono nt̪ǔʃì nt̪ǔʃìì ɲàà,mɛɛ̂ ra tsàà yatʃi mikǐ ʃíkò nt̪ǔʃì t̪ono nt̪ǔʃì nt̪ǔʃì ñàà,,I almost never sell honey like honey honey,yo ya casi nunca vendo miel como miel miel...,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
84.281,85.886,kú'nî-rǎ rì tsà'ǎ ñà-ka,kúnî rǎ rì tæ̃æ̃,kúʔnî rǎ rì tsàʔǎ ñà ka,,squeezed because,esprimirlo porque,,unmapped char: 'r'
85.912,91.519,váí nchuà'a tsú'ní-kuê-rǎ ra tsàà yachi meé soo tá ñù'mǎ luu tsú'nî ra ñàà,váí ntʒòʔa tsúʔní wɛ̂ rǎ mmm ra tsà jatʃi mɛɛ́ soo t̪ã́ ɲũ̀mǎ lu tsúnî ra ɲààà,váí ntʃuàʔa tsúʔní kuɛ̂ rǎ ra tsàà yatʃi mɛɛ́ soo t̪á ñùʔmǎ luu tsúʔnî ra ñàà,,it takes a lot to squeeze it and it’s almost put wax that we squeeze,tardamos mucho en exprimirla(miel) y casi puro cera exprimo y,"Nota: meé soo tá = puro / No sabemos por qué tá, pero no significa cuando","t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
91.519,97.51,nchá... nchá kána kúu ñàà nchá ntinuu luu kúu nchá xíkò ra ñà kúu,ntʒááá ntʒá kána úu ɲàà ntʒá ndinũʔũ luu já ʃíkò ra ɲà kús,ntʃá... ntʃá kána kúu ñàà ntʃá nt̪inuu luu kúu ntʃá ʃíkò ra ñà kúu,expanding end point boundary to 97.51 to include the “kúu” in segment,the liquid... the liquid that comes out it is the liquid that I sell,el líquido... el líquido(miel) que sale es el puro líquido lo que vendo,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
97.115,101.415,saán sáchúun-kuê chíí suà'a chíí Yukúnanǐ tatù,sãã́ sátʃṹũ wɛ̂ tʃíí swàa tʃíí jukúnanǐ dadù,saã́ sátʃúũ kuɛ̂ tʃíí suàʔa tʃíí Yukúnanǐ t̪at̪ù,,this is how we work for this area in Yucunani in case,así trabajamos de este lado por Yucunani por si,notes: tatù = ratù (variation),"t->t̪ (tentative, verify); unmapped char: 'Y'"
101.429,104.541,nchíì nà kúnì katsí ntǔxì ra,ndʒíì nà kúnì k̬atsí ndǔʃì ra,ntʃíì nà kúnì katsí nt̪ǔʃì ra,,somebody wants to eat honey,alguien quiere comer miel y,,"t->t̪ (tentative, verify); unmapped char: 'r'"
105.021,108.271,ñàà ka'àn soo-kue-ní-ni ra yó'o yéè-rǎ,ɲàà kaʔã̀ soo wɛ ní ni ɾə jóʔo jɛ́ɛ̀ rǎ,ñàà kaʔã̀ soo kwɛ ní ni ra yóʔo yɛ́ɛ̀ rǎ,moved start time back to remove stutter before utterance,just say it and we have some here,nomas digan y aqui hay(miel),ejemplo de =rǎ como sujeto,unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'
108.294,113.277,ñàà tá xina ñú'u nìkìtsáà ñàà,ɲɲàà t̪á ʃina ɲṹʔũ nìkìtsáà ɲàà,ñàà t̪á ʃina ñúʔu nìkìtsáà ñàà,cut offset time to 113.277 avoid stuttering transition,the first time I started,la primera vez que empecé,note: Jeremías pronunciaría 'xinà ñú'u' (no sabemos por qué la diferencia),"t->t̪ (tentative, verify)"
113.575,116.042,ntǎ'àn inì-yù kúu ku'mî ñùñǔ kúu-ñà,ndã̌ʔã̀ inì jù kúu kumî ɲũ̀ɲũ̌ wãã,nt̪ǎʔã̀ inì yù kúu kuʔmî ñùñǔ kúu ñà,"again there is NO “kúu ña” here, sounds like “waan”, cutting off segment",I liked being able to have bees because,Me gustó poder tener abejas porque,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
116.201,118.447,ntàà tá luù ra ntsìtá'àn nchuà'a inì-yù ñàà,nt̪àà t̪á luù ra nzìt̪ã́ã̀ ndʒòʔa inì jù ɲàà,nt̪àà t̪á luù ra ntsìt̪áʔã̀ ntʃuàʔa inì yù ñàà,"many tone contours are leaking onto following phones, including nasals! (Tone Sandhi), here I currently wrote [nzìt̪ã́ã̀] but in truth the vowel isn’t long and the low tone is being realized on the nasal in the following word",it is true that when I was a kid I liked it a lot,es verdad que cuando estaba chico me gustaba mucho,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
118.935,121.000,tá ntáné'ê ñùñǔ á yokǒ á,t̪á ndánɛ́ʔɛ̂ ɲũ̀ɲũ̌ á jokǒ áá,t̪á nt̪ánɛ́ʔɛ̂ ñùñǔ á yokǒ á,"moved start time to remove overrun by previous articulations and non verbal transition noises. Same for end, push up",when I found bees or wasps,Cuando encuentro abejas o avispas o algo,Check tones of avispas,"t->t̪ (tentative, verify); unmapped char: 'y'"
121.193,124.271,nchíì nchíì ñà nìkùu-ni ra ntsìtá'àn nchuà'a inì-yù,ndʒíì ndʒíì iʔ nɲà nìkùu ni ra ntzìt̪ã́ã̀ ntʒòʔa inì jù,ntʃíì ntʃíì ñà nìkùu ni ra ntsìt̪áʔã̀ ntʃuàʔa inì yù,,something something whatever it was I liked it a lot,algo algo lo que fuera a mí me gustaba mucho.,Notes: nchuà'a entre V y inì,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
124.288,125.296,kusíkî rì,kusíkî rì,kusíkî rì,,to play because,jugar porque,notes: good example of purposive,unmapped char: 'r'
125.296,127.547,ntsìtá'àn nchuà'a inì-yù távâ ntǔxì luu--tí,nzìdã́ã̀ ndʒòʔa inì jù dávâ ndǔʃì luu t̪í,ntsìt̪áʔã̀ ntʃuàʔa inì yù t̪ávâ nt̪ǔʃì luu t̪í,pushed back endgame so that the “tí” could be included (was in next segment),I used to like taking their honey a lot,me gustaba mucho sacar su miel,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'y'"
127.489,129.916,jara né'ê ntǔxì luu tsátsî tá tsíkà yukǔ,jara nɛ́ɛ̂ nt̪ǔʃì luu tsátsî t̬á tsíkà jukǔ,jara nɛ́ʔɛ̂ nt̪ǔʃì luu tsátsî t̪á tsíkà yukǔ,pushed time back to include “juku” ,and I got honey and I would eat it when I walked on the mountain,y conseguía miel (y)me la comia cuando andaba por el monte.,"notes: not katsî, tsátsî - because it's realis! It's what he actually used to do","t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
129.975,132.039,kuà'àn-yù nùǔ sànà-yù kuà'àn-yù ra,kwã̰̀ jù nũ̀ũ̌ sànà jù a kuã̰̀ jù ra,kuàʔã̀ yù nùǔ sànà yù kuàʔã̀ yù ra,pushed time up to remove the overlap from previous,I go with my animals (properties) or I go and,voy con mis animales(propiedad) o voy,"Notas: sànà - propiedad, anafórico (en este caso se refiere a los animales)",unmapped char: 'r'; unmapped char: 'y'
131.961,133.650,ntáné'ê ñàà yòkò ra,ndánɛ́ʔɛ̂ ɲàà jòkò ra,nt̪ánɛ́ʔɛ̂ ñàà yòkò ra,"modified start time to include pre-nasal, modified end time to remove transitional non-verbal [s] articulation",I find beehives or,encuentro panales o,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
133.981,135.860,tsá'nchà-yù-ñà ra né'ê ntǔxì luu tsátsî,tsáʔndʒà jù àà nɛ̰́ɛ̰̂ ndǔʃì lu tsátsî,tsáʔntʃà yù ñà ra nɛ́ʔɛ̂ nt̪ǔʃì luu tsátsî,moved end time back to include final [i] in “tsatsi”. Removed “ña” and “ra” (just said “aa”),I cut it and I get honey to eat,lo corto y consigo miel para comer,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
135.885,137.809,cha iká kúu-ñà nìntǎ'vǐ-à inì-yù ñàà,iká wé nìnt̬ǎʔvǐ à inì jù à,tʃa iká kúu ñà nìnt̪ǎʔvǐ à inì yù ñàà,moved start time back to remove end of previous word. Moved back end time to fallen include last word. Removed “cha” that is not in the utterance. Again with “kuu ña” that isn’t there! Seems to say “wé” in every case of the mysterious “kuu ña” and often says “a” instead of “ñaa”,that's what it came from to me,de ahí es donde me nació,Notes: Check tones!!!,"t->t̪ (tentative, verify); unmapped char: 'y'"
137.809,140.699,nìkùtoò-yù nìkùtoò-yù kúu ku'mî-tǐ,nìkùt̪oò jù nìkùt̪oò jù kúu kumî dǐ,nìkùt̪oò yù nìkùt̪oò yù kúu kuʔmî t̪ǐ,moved start time back to remove end of previous word.,I liked it Iliked to have them,me gustó me gustó tenerlos (los animales),,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
140.099,142.24,jara ñàà,jara ɲàà,jara ñàà,moved end time back to remove start of first word of next segment,then,entonces,,unmapped char: 'j'; unmapped char: 'r'
142.099,145.793,ntás... ntásan... ntsà'a chí'an-nà iin ñàà iin,ndá̰a̰ sə ndásɐann nnazà̰a̰ tʃíʔã nà ĩ́ĩ́ ɲàà ĩ́ĩ́,nt̪ás... nt̪ásan... ntsàʔa tʃíʔã nà iĩ ñàà iĩ,moved start time back to include fill first word,they gave me a,ah ah me regalaron un...,Notes: escribimos ntsà'achí'an-nà or ntsà'a chí'an-nà,"t->t̪ (tentative, verify)"
145.806,147.266,kájà luu-tí kúu ku'mî,káhà luu t̪í kúu kumî,kájà luu t̪í kúu kuʔmî,,little box to have them,cajita para tenerlos,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'"
147.282,149.671,jara iká ra kuéên kuéên ra ntàkayà-tǐ,hara iká ra ku kuɛ̃́ɛ̃̂ ra ndàkajà dǐ,jara iká ra kuɛ́ɛ̃̂ kuɛ́ɛ̃̂ ra nt̪àkayà t̪ǐ,,then slowly they multiplied,entonces ahí poco a poco se multiplicaron,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'y'"
151.500,152.964,ñà ntàà kúu-ñà michú'ni ñàà,ɲà ndàà wã́ã̂ mitʃúni ɲà,ñà nt̪àà kúu ñà mitʃúʔni ñàà,moved back start time to remove dead air and transitional non verbal sounds. Another “kuu ña” inserted!/removed ,truth is that now that,es verdad que ahorita que,,"t->t̪ (tentative, verify); unmapped char: 'm'"
153.428,155.186,yòǒ ichî ñàà kǒo ñàà,jòǒ itʃî ɲà kǒo ɲà,yòǒ itʃî ñàà kǒo ñàà,moved start time back to remove stutter before utterance. moved end time back to include end of last word,that is the dry season,la temporada seca,,unmapped char: 'y'
155.186,156.174,kǒo,kǒo,kǒo,moved start time back to remove end of previous word.,there isn't,no hay,,
157.171,159.04,ñà katsí ñùñǔ luu yó'o ra,ɲà katsí ɲũ̀ɲũ̌ lʎó raa,ñà katsí ñùñǔ luu yóʔo ra,,food so that these bees eat,que estas abejitas coman,,unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'
159.416,161.914,ñà ntàà meê ra mikǐ tù'vâ tâân ñà katsí,nɲà ndàà mɛɛ̂ a mikǐ t̬ùvâ t̪ã́ã̂ ɲà k̬atsíí,ñà nt̪àà mɛɛ̂ ra mikǐ t̪ùʔvâ t̪âã̂ ñà katsí,moved back start time to remove transitional articulation.Moved start time back to include all of last word,The truth is that I don't normally give them food,"La verdad, yo no suelo darles de comer",,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
161.87,163.291,katsí-tí nti....,katsí t̪íí nt̬i,katsí t̪í nt̪i....,,the animals,a los animales,,"t->t̪ (tentative, verify)"
163.314,165.22,tsíní ñú'u tono ñà ká'àn kue,tsíɲũ ɲṹʔũ t̪onn ɲà kã̰́ã̰̀ wɛ,tsíní ñúʔu t̪ono ñà káʔã̀ kwɛ,,it is important as they say,es importante como dicen,,"t->t̪ (tentative, verify); unmapped char: 'w'"
165.228,167.37,tò'ò yó'o kúu-ñà tsíní ñú'u kuà'a-kó,t̪òʔò jóʔo wã́ã tsí ɲũ̀ũ̌ kuàʔa ɣó,t̪òʔò yóʔo kúu ñà tsíní ñúʔu kuàʔa kó,another “kuu ña”  ,"the ""foreigners"" that you have to give them",los fuereno que es importante darles,,"t->t̪ (tentative, verify); unmapped char: 'y'"
167.765,170.133,ñà katsí-tí tavà koo-tí teèn meê ra,ɲà katsí t̪í t̪awà koo t̪í t̪ɛ̃ɛ̃̀ mɛɛ̂ ra,ñà katsí t̪í t̪avà koo t̪í t̪ɛɛ̃̀ mɛɛ̂ ra,moved start time back to remove breath before utterance,give them food so they live but I,darles de comer para que vivan pero yo,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
170.241,173.293,kuě kúnì-yù skâân ñùñǔ luu saán saán soo ñàà,"kwɛ̌ kúnì jù skã̂ã̂ ɲũ̀ɲũ̌ lu sãã́, sãã́ soo ɲàà",kwɛ̌ kúnì yù skâã̂ ñùñǔ luu saã́ saã́ soo ñàà,,I don't want my bees to get used to this,No quiero acustumbrar mis abejitas asi asi que,,unmapped char: 'l'; unmapped char: 'w'; unmapped char: 'y'
173.464,174.896,ñà sá'à kúu-ñà tsákì soò ñàà,ɲà sáʔà wã́ã̂ tsákì soò ɲàà,ñà sáʔà kúu ñà tsákì soò ñàà,Moved back start time to remove transitional sound. Another “kuu ña”  replaced with actual articulation [wã́ã̂],what I do is I sow,lo que hago es solo sembrar,,
175.039,176.546,ità luu katsí-tí á,it̪à lu k̬atsí t̪í áá,it̪à luu katsí t̪í á,,little flowers to eat,florecitas para comer o,,"t->t̪ (tentative, verify); unmapped char: 'l'"
176.757,178.336,nchíì kuáchi suà'a luu ntu...,ndʒíì kwátʃi suàʔa lu nduu,ntʃíì kuátʃi suàʔa luu nt̪u...,,whatever,cualquier cosa,,"t->t̪ (tentative, verify); unmapped char: 'l'"
178.357,181.414,ntuvà á nchíì tsákì-yù ra iká kúu-ñà ntútútú-tí ra iká,và á ndʒíì tsákì kjù ra iká wã́ã̂ nt̬út̬út̬ú t̪í a iká,nt̪uvà á ntʃíì tsákì yù ra iká kúu ñà nt̪út̪út̪ú t̪í ra iká,again “kuu ña” replaced for [wã́ã̂]. End time moved up to remove transitional articulation,edible herbs or what I sow and there (bees) get together and,hierbas comestibles o lo que siembro y ahí se juntan(abejas) y,notes: investigar qué hierba en concreto,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
181.577,182.444,iká tsítsá'an-tí,iká tsítsã́ã t̬í,iká tsítsáʔã t̪í,moved start time back to remove stutter before utterance,there they eat,ahí comen(abejas),notes: -tí a veces suena como -rí,"t->t̪ (tentative, verify)"
184.809,186.283,ñàà,ɲàààà,ñàà,,,,,
186.635,188.528,tá nìkìtsáà ra jani kuě,t̪á nìkìtsáà ra hani kwɛ́ɛ̌,t̪á nìkìtsáà ra jani kwɛ̌,moved back start time to remove dead air and transitional non verbal sound,when I started almost no,Cuando empecé casi no,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'w'"
188.954,191.036,kuě nchíchì xèě-ni kuíî nùû rì tsà'ǎ ñà-ka,kwɛ̌ ndʒíʃì ʃɛ̀ɛ̌ ni kuíî nũ̀ũ̂ rì tsàǎ,kwɛ̌ ntʃítʃì ʃɛ̀ɛ̌ ni kuíî nùû rì tsàʔǎ ñà ka,moved back start time to remove transitional non verbal sound. What is the [nũ̀ũ̂] here? is is a ‘face’ derivative? if so why is tone labeled as falling (is it inflected for person)? “ñà ka” removed it wasn’t actually said..,it wasn't even that difficult for me because,no se me hizo dificil porque,,unmapped char: 'r'; unmapped char: 'w'
191.109,192.523,tono iin chuun ñàà,t̪ono ĩ́ĩ́ tʃũũ ɲàà,t̪ono iĩ tʃuũ ñàà,moved end time up to remove transitional non verbal speech,like a job that,como un trabajo que,notes: suena casi como nà,"t->t̪ (tentative, verify)"
192.735,195.646,tá'àn ntǎ'àn inì-yù sá'à víî ra tsà'ǎ ñà-ka kúu-ñà,t̪ã́ʔã̀ nt̪ã̌ʔã̀ inì jù sáʔà víî ra tsǎ ɲà wã́ã,t̪áʔã̀ nt̪ǎʔã̀ inì yù sáʔà víî ra tsàʔǎ ñà ka kúu ñà,removed “ka kúu ñà” it’s not there,I like and liked doing that's why,me gusta me gustaba hacer por eso es,notes: víî = kuíî,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
195.703,196.69,ñàà,ɲàà,ñàà,,,,,
196.69,198.911,kuě nchíchì xèě kúu-ñà nìkùtù'và tavà,kwɛ̌ ntʃítʃì ʃɛ̀ɛ̌ wã́ã nìkùt̪ùʔvà t̪avà,kwɛ̌ ntʃítʃì ʃɛ̀ɛ̌ kúu ñà nìkùt̪ùʔvà t̪avà,“kuu ña” replaced with [wã́ã] again,"it wasn't very difficult, I learned it so that",no era muy dificil lo que aprendi para que,,"t->t̪ (tentative, verify); unmapped char: 'w'"
199.476,201.029,kutù'và nixi tavâ-rǐ,kut̪ùβà niʃi t̬avâ rǐ,kut̪ùʔvà niʃi t̪avâ rǐ,,I learned how to take them out,aprendiera como sacarlos(abejas),notes: ti suena como ri,"t->t̪ (tentative, verify); unmapped char: 'r'"
203.246,204.462,ñà ntàà ra ñàà,ɲà ndàà ra ɲàà,ñà nt̪àà ra ñàà,,the truth is that,la verdad que,,"t->t̪ (tentative, verify); unmapped char: 'r'"
204.467,206.493,chuun luu-ka ra kuě nchíchì-ñà ra,tʃũũ luu ɣa ra kwɛ̌ nʒítʃì ɲà ra,tʃuũ luu ka ra kwɛ̌ ntʃítʃì ñà ra,,the job is not dificult,el trabajo no es dificil,,unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'w'
206.525,208.298,á kúu-nà ña'á á kúu-nà chàa,á kúu nà ɲa̰á ʔá ku nà tʃàa,á kúu nà ñaʔá á kúu nà tʃàa,moved end time back to finish long V on last word,be it women or men,ya sean mujeres o hombres,,
